College,"{'one': 1346, 'zero': 1487}"
INCOME,62928.2022590893
OVERAGE,56.565478291563714
LEFTOVER,62.625132368513945
HOUSE,499133.883162725
Handset Price,287.643487469114
Overage15mins,4.4115778326861985
Average,1.7310271796681962
satisfaction,"{'very_unsat': 1260, 'very_sat': 834, 'sat': 64, 'unsat': 675}"
usage level,"{'208': 1, '74': 1, '0': 1, '72': 1, '71': 1, '56': 1, '192': 1, '97': 1, '63': 1, '62': 1, '211': 1, '218': 1, '182': 1, '44': 1, '57': 1, '55': 1, '47': 1, '229': 1, '76': 1, '167': 1, '206': 1, '33': 1, '148': 1, '34': 1, '184': 1, '53': 1, '64': 1, '210': 1, '48': 1, '68': 1, '66': 1, '193': 1, '87': 1, '77': 1, '219': 1, '45': 1, '223': 1, '46': 1, '80': 1, '51': 1, '40': 1, '200': 1, '235': 1, '216': 1, '187': 1, '81': 1, '195': 1, '61': 1, '43': 1, '169': 1, '60': 1, '214': 1, '58': 1, '157': 1, '50': 1, '164': 1, '70': 1, '32': 1, '232': 1, '225': 1, '69': 1, '65': 1, '52': 1, '67': 1, '212': 1, '78': 1, '49': 1, '185': 1, '84': 1, '196': 1, '75': 1, '86': 1, '202': 1, '201': 1, '59': 1, '145': 1, '173': 1, '215': 1, '73': 1, '96': 1, '203': 1, '237': 1, '146': 1, '89': 1, '204': 1, '31': 1, '37': 1, '217': 1, '199': 1, '99': 1, '240': 1, '198': 1, '222': 1, '42': 1, '38': 1, '41': 1, '191': 1, '162': 1, '168': 1, '141': 1, '213': 1, '234': 1, '209': 1, '79': 1, '128': 1, '82': 1, '190': 1, '123': 1, '207': 1, '54': 1, '151': 1, '194': 1, '179': 1, '85': 1, '159': 1, '39': 1, '30': 1, '29': 1, '170': 1, '175': 1, '227': 1, '158': 1, '176': 1, '161': 1, '251': 1, '221': 1, '28': 1, '262': 1, '90': 1, '94': 1, '163': 1, '228': 1, '243': 1, '247': 1, '172': 1, '197': 1, '183': 1, '256': 1, '91': 1, '108': 1, '181': 1, '188': 1, '88': 1, '107': 1, '153': 1, '26': 1, '224': 1, '261': 1, '180': 1, '165': 1, '23': 1, '92': 1, '189': 1, '252': 1, '233': 1, '35': 1, '27': 1, '83': 1, '253': 1, '95': 1, '120': 1, '238': 1, '129': 1, '166': 1, '149': 1, '102': 1, '136': 1, '36': 1, '160': 1, '239': 1, '226': 1, '178': 1, '205': 1, '24': 1, '155': 1, '271': 1, '220': 1, '242': 1, '140': 1, '93': 1, '171': 1, '154': 1, '177': 1, '254': 1, '19': 1, '144': 1, '236': 1, '147': 1, '260': 1, '244': 1, '186': 1, '231': 1, '152': 1, '250': 1, '138': 1, '142': 1, '150': 1, '156': 1, '21': 1, '174': 1, '139': 1}"
considering,"{'never_thought': 289, 'no': 334, 'considering': 1371, 'actively_looking_into_it': 835, 'perhaps': 4}"
leave,"{'STAY': 1405, 'LEAVE': 1428}"
Median for House Value:,468232
Median for Income,56473
